Denis,de,Denisde@cy-tech.fr,30,"16,91","DS ","BI ","HPDA ","IAC ","IAP ",FT
Marguerite,Gauthier,MargueriteGauthier@cy-tech.fr,30,"15,884","DS ","IAC ","FT ","BI ","IAP ",HPDA
Margaret,Chauvin,MargaretChauvin@cy-tech.fr,30,"15,209","DS ","BI ","HPDA ","IAC ","IAP ",FT
Rémy,Berger,RémyBerger@cy-tech.fr,30,"15,052","DS ","BI ","IAC ","FT ","IAP ",HPDA
Joseph,Richard,JosephRichard@cy-tech.fr,30,"15,036","DS ","FT ","BI ","HPDA ","IAC ",IAP
Jules,Tanguy,JulesTanguy@cy-tech.fr,30,"15,016","DS ","FT ","IAC ","BI ","HPDA ",IAP
Marine,Alves-Buisson,MarineAlves-Buisson@cy-tech.fr,30,"14,93","DS ","IAC ","FT ","BI ","HPDA ",IAP
Manon,Sauvage,ManonSauvage@cy-tech.fr,30,"14,82","DS ","BI ","HPDA ","IAC ","FT ",IAP
Thibaut,Turpin,ThibautTurpin@cy-tech.fr,30,"14,812","DS ","IAC ","BI ","FT ","IAP ",HPDA
Julie,Perret,JuliePerret@cy-tech.fr,30,"14,717","DS ","FT ","IAC ","BI ","HPDA ",IAP
Gilles,Leleu,GillesLeleu@cy-tech.fr,30,"14,7","DS ","BI ","FT ","IAC ","IAP ",HPDA
Christiane,Gomes,ChristianeGomes@cy-tech.fr,30,"14,689","DS ","IAP ","IAC ","HPDA ","FT ",BI
Théophile,Carre-Charles,ThéophileCarre-Charles@cy-tech.fr,30,"14,661","DS ","IAC ","BI ","FT ","IAP ",HPDA
Alphonse,Gomes,AlphonseGomes@cy-tech.fr,30,"14,386","DS ","FT ","IAC ","BI ","IAP ",HPDA
Benjamin,Rocher,BenjaminRocher@cy-tech.fr,30,"14,354","DS ","HPDA ","FT ","IAP ","IAC ",BI
Colette,Peron,ColettePeron@cy-tech.fr,30,"14,305","DS ","IAC ","FT ","BI ","IAP ",HPDA
Claude,De,ClaudeDe@cy-tech.fr,30,"14,235","DS ","FT ","IAC ","IAP ","BI ",HPDA
Gilbert,Pottier-Lamy,GilbertPottier-Lamy@cy-tech.fr,30,"14,125","DS ","FT ","IAC ","HPDA ","IAP ",BI
Marianne-Alex,Carlier,Marianne-AlexCarlier@cy-tech.fr,30,"14,103","DS ","IAC ","FT ","BI ","IAP ",HPDA
Adèle,Le,AdèleLe@cy-tech.fr,30,"14,06","DS ","BI ","IAC ","FT ","IAP ",HPDA
Chantal-Alexandria,Riviere,Chantal-AlexandriaRiviere@cy-tech.fr,30,"13,87","DS ","IAC ","FT ","BI ","HPDA ",IAP
Benoît,Le,BenoîtLe@cy-tech.fr,30,"13,868","DS ","IAC ","FT ","BI ","HPDA ",IAP
Emmanuelle,Vallee,EmmanuelleVallee@cy-tech.fr,30,"13,665","DS ","IAC ","FT ","BI ","IAP ",HPDA
Bertrand,Jacquot,BertrandJacquot@cy-tech.fr,30,"13,646","DS ","IAC ","FT ","BI ","IAP ",HPDA
Agnès,Torres,AgnèsTorres@cy-tech.fr,30,"13,61","DS ","FT ","IAC ","BI ","IAP ",HPDA
Jean,Le,JeanLe@cy-tech.fr,30,"13,539","DS ","FT ","IAC ","IAP ","BI ",HPDA
Olivier,Valentin,OlivierValentin@cy-tech.fr,30,"13,458","DS ","FT ","IAC ","BI ","IAP ",HPDA
Roger,Dupuis,RogerDupuis@cy-tech.fr,30,"13,343","DS ","IAC ","FT ","BI ","HPDA ",IAP
Madeleine,Loiseau,MadeleineLoiseau@cy-tech.fr,30,"13,319","DS ","IAC ","FT ","IAP ","HPDA ",BI
Étienne,Bazin,ÉtienneBazin@cy-tech.fr,30,"13,383","DS ","FT ","IAC ","BI ","BI ",IAP
Stéphane,Perrot,StéphanePerrot@cy-tech.fr,30,"12,741","DS ","FT ","IAC ","BI ","IAP ",HPDA
Célina,Guibert-Leconte,CélinaGuibert-Leconte@cy-tech.fr,30,"12,519","DS ","FT ","IAC ","BI ","IAP ",HPDA
Théodore,Henry,ThéodoreHenry@cy-tech.fr,30,"11,632","DS ","FT ","IAC ","BI ","IAP ",HPDA
Eugène,Albert,EugèneAlbert@cy-tech.fr,15,"12,425","DS ","IAC ","HPDA ","BI ","IAP ",FT
Alexandria,Charpentier,AlexandriaCharpentier@cy-tech.fr,30,"11,614","DS ","FT ","BI ","IAC ","IAP ",HPDA
