Denis,Julien,DenisJulien@cy-tech.fr,30,"13,924","FT ","DS ","IAP ","IAC ","HPDA ",BI
Claire,Courtois,ClaireCourtois@cy-tech.fr,30,"13,809","FT ","DS ","BI ","IAC ","HPDA ",IAP
David,de,Davidde@cy-tech.fr,30,"13,067","FT ","DS ","IAC ","IAP ","HPDA ",BI
Gabrielle,Laine,GabrielleLaine@cy-tech.fr,30,"13,065","FT ","DS ","BI ","IAC ","HPDA ",IAP
Jean,Rodriguez,JeanRodriguez@cy-tech.fr,30,"12,434","FT ","DS ","IAC ","IAP ","BI ",HPDA
Margaux-Chantal,Roy,Margaux-ChantalRoy@cy-tech.fr,30,"12,386","FT ","DS ","IAC ","BI ","IAP ",HPDA
Benoît-Nicolas,Loiseau,Benoît-NicolasLoiseau@cy-tech.fr,30,"12,254","FT ","DS ","IAC ","HPDA ","IAP ",BI
Charlotte,Ollivier,CharlotteOllivier@cy-tech.fr,30,"12,165","FT ","DS ","IAC ","BI ","HPDA ",IAP
Anne-Camille,Muller,Anne-CamilleMuller@cy-tech.fr,30,"11,741","FT ","BI ","IAC ","DS ","HPDA ",IAP
Diane,Lebreton,DianeLebreton@cy-tech.fr,30,"10,943","DS ","FT ","IAC ","BI ","HPDA ",IAP
Manon,de,Manonde@cy-tech.fr,30,"10,772","DS ","FT ","IAC ","BI ","HPDA ",IAP
Émile,Poulain,ÉmilePoulain@cy-tech.fr,29,"13,416","FT ","DS ","BI ","IAC ","HPDA ",IAP
Josette,Weber,JosetteWeber@cy-tech.fr,15,"14,175","FT ","DS ","IAC ","BI ","IAP ",HPDA
Adélaïde,Carlier,AdélaïdeCarlier@cy-tech.fr,15,"13,272","FT ","DS ","IAC ","BI ","IAP ",HPDA
Suzanne,Chauvet,SuzanneChauvet@cy-tech.fr,15,"12,361","FT ","DS ","IAC ","IAP ","HPDA ",BI
Jérôme,Prevost,JérômePrevost@cy-tech.fr,15,"11,845","DS ","FT ","IAC ","BI ","HPDA ",IAP
Dominique,Lecoq,DominiqueLecoq@cy-tech.fr,15,"11,725","FT ","DS ","IAC ","BI ","HPDA ",IAP
Joséphine,Hoareau,JoséphineHoareau@cy-tech.fr,15,"11,44","FT ","DS ","BI ","IAC ","HPDA ",IAP
Xavier,Leclerc-Dupont,XavierLeclerc-Dupont@cy-tech.fr,15,"11,201","DS ","FT ","IAC ","IAP ","HPDA ",BI
Margot,Aubert,MargotAubert@cy-tech.fr,30,"11,681","DS ","IAC ","FT ","IAP ","BI ",HPDA
Robert,de,Robertde@cy-tech.fr,15,"11,16","FT ","DS ","BI ","HPDA ","IAC ",IAP
Adélaïde,Menard-Perrier,AdélaïdeMenard-Perrier@cy-tech.fr,15,"10,837","DS ","FT ","BI ","IAC ","HPDA ",IAP
Henri,Pasquier-Pierre,HenriPasquier-Pierre@cy-tech.fr,15,"10,517","FT ","DS ","IAC ","BI ","HPDA ",IAP
Nath,Rolland,NathRolland@cy-tech.fr,15,"10,45","IAC ","DS ","FT ","BI ","IAP ",HPDA
Alexandrie,Sanchez,AlexandrieSanchez@cy-tech.fr,15,"10,417","FT ","DS ","BI ","IAC ","IAP ",HPDA
Martin,Masson,MartinMasson@cy-tech.fr,15,"10,401","IAC ","DS ","FT ","BI ","IAP ",HPDA
Adrienne,Pinto,AdriennePinto@cy-tech.fr,15,"10,269","FT ","DS ","IAP ","HPDA ","IAC ",BI
Véronique,Techer,VéroniqueTecher@cy-tech.fr,15,"10,178","DS ","FT ","BI ","IAC ","HPDA ",IAP
Thibaut,de,Thibautde@cy-tech.fr,15,"10,135","FT ","BI ","DS ","IAC ","HPDA ",IAP
Simone,Marty,SimoneMarty@cy-tech.fr,15,"10,098","IAC ","DS ","FT ","BI ","IAP ",HPDA
Daniel,Mallet,DanielMallet@cy-tech.fr,15,"9,701","FT ","DS ","BI ","IAC ","HPDA ",IAP
Olivie-Philippine,Diallo,Olivie-PhilippineDiallo@cy-tech.fr,15,"10,114","FT ","DS ","IAC ","BI ","IAP ",HPDA
Agnès,de,Agnèsde@cy-tech.fr,15,"9,68","IAC ","DS ","FT ","BI ","IAP ",HPDA
Jérôme,Pichon,JérômePichon@cy-tech.fr,15,"6,565","FT ","DS ","IAC ","IAP ","HPDA ",BI
Édouard,Nicolas,ÉdouardNicolas@cy-tech.fr,15,"9,535","FT ","DS ","BI ","HPDA ","IAC ",IAP
