Marc,Ribeiro,MarcRibeiro@cy-tech.fr,30,"16,946","ICC ","IAP ","HPDA ","IAC ","VISUA ","INEM ","CS ",BI
Joséphine,Humbert,JoséphineHumbert@cy-tech.fr,30,"16,066","ICC ","IAP ","HPDA ","CS ","INEM ","VISUA ","IAC ",BI
Jérôme,Foucher,JérômeFoucher@cy-tech.fr,30,"15,568","ICC ","IAP ","INEM ","VISUA ","IAC ","CS ","HPDA ",BI
daisy,Lopez,daisyLopez@cy-tech.fr,30,"15,276","ICC ","IAP ","HPDA ","CS ","IAC ","INEM ","VISUA ",BI
Thibault,Faivre,ThibaultFaivre@cy-tech.fr,30,"14,348","ICC ","IAP ","HPDA ","IAC ","CS ","BI ","VISUA ",INEM
Célina,Cordier,CélinaCordier@cy-tech.fr,30,"14,246","ICC ","CS ","IAP ","IAC ","BI ","VISUA ","INEM ",HPDA
Benjamin,Guillou,BenjaminGuillou@cy-tech.fr,30,"14,225","ICC ","INEM ","CS ","IAP ","IAC ","VISUA ","BI ",HPDA
Gabriel,du,Gabrieldu@cy-tech.fr,30,"14,198","ICC ","IAP ","HPDA ","CS ","IAC ","VISUA ","INEM ",BI
Paulette,Leclercq,PauletteLeclercq@cy-tech.fr,30,"13,729","ICC ","IAP ","IAC ","VISUA ","INEM ","CS ","BI ",HPDA
Marcelle,Gauthier-Martineau,MarcelleGauthier-Martineau@cy-tech.fr,30,"13,572","ICC ","INEM ","IAP ","CS ","IAC ","VISUA ","BI ",HPDA
Zacharie,Weber,ZacharieWeber@cy-tech.fr,30,"13,371","ICC ","CS ","IAP ","HPDA ","INEM ","BI ","IAC ",VISUA
Philippe,Hamel,PhilippeHamel@cy-tech.fr,30,"13,291","ICC ","IAP ","CS ","IAC ","VISUA ","HPDA ","INEM ",BI
Franck,Le,FranckLe@cy-tech.fr,30,"13,115","ICC ","IAP ","CS ","IAC ","INEM ","HPDA ","BI ",VISUA
Margaud-Laure,Wagner,Margaud-LaureWagner@cy-tech.fr,30,"13,095","ICC ","INEM ","IAP ","HPDA ","IAC ","VISUA ","CS ",BI
Diane,Martin,DianeMartin@cy-tech.fr,30,"12,893","ICC ","CS ","INEM ","VISUA ","HPDA ","BI ","IAP ",IAC
Paulette-Valérie,Albert,Paulette-ValérieAlbert@cy-tech.fr,30,"12,222","ICC ","IAP ","HPDA ","CS ","IAC ","INEM ","BI ",VISUA
Julie,Fernandez,JulieFernandez@cy-tech.fr,30,"11,349","ICC ","CS ","HPDA ","IAP ","IAC ","INEM ","VISUA ",BI
Luce,Le,LuceLe@cy-tech.fr,15,"13,628","ICC ","INEM ","CS ","BI ","VISUA ","IAP ","IAC ",HPDA
Adrien-Xavier,Menard,Adrien-XavierMenard@cy-tech.fr,15,"10,291","ICC ","IAC ","BI ","CS ","IAP ","HPDA ","INEM ",VISUA
