François,Herve,FrançoisHerve@cy-tech.fr,30,"16,26","INEM ","CS ","ICC ","VISUA ","IAP ","IAC ","HPDA ",BI
Caroline,Marie,CarolineMarie@cy-tech.fr,30,"16,129","INEM ","VISUA ","IAC ","CS ","IAP ","ICC ","HPDA ",BI
Georges,Bonnet,GeorgesBonnet@cy-tech.fr,30,"15,575","INEM ","IAP ","IAC ","CS ","HPDA ","BI ","ICC ",VISUA
Zacharie,Bernard,ZacharieBernard@cy-tech.fr,30,"15,305","INEM ","ICC ","CS ","IAP ","HPDA ","IAC ","BI ",VISUA
Philippine,de,Philippinede@cy-tech.fr,30,"15,056","INEM ","VISUA ","CS ","ICC ","IAP ","IAC ","BI ",HPDA
Maurice,Alves,MauriceAlves@cy-tech.fr,30,"14,918","INEM ","VISUA ","IAC ","CS ","HPDA ","BI ","IAP ",ICC
Yves,Roy-Perret,YvesRoy-Perret@cy-tech.fr,30,"14,635","INEM ","CS ","IAC ","BI ","VISUA ","IAP ","ICC ",HPDA
Laurence,Bailly,LaurenceBailly@cy-tech.fr,30,"14,516","INEM ","IAP ","IAC ","ICC ","CS ","VISUA ","BI ",HPDA
Pierre,Boyer,PierreBoyer@cy-tech.fr,30,"13,718","INEM ","CS ","IAC ","VISUA ","IAP ","BI ","ICC ",HPDA
Renée,Maurice,RenéeMaurice@cy-tech.fr,30,"13,418","INEM ","IAP ","IAC ","VISUA ","CS ","HPDA ","ICC ",BI
Adrien,Dumont,AdrienDumont@cy-tech.fr,30,"13,209","INEM ","CS ","VISUA ","ICC ","IAP ","IAC ","HPDA ",BI
Chantal,Joubert,ChantalJoubert@cy-tech.fr,30,"12,875","INEM ","IAC ","VISUA ","CS ","IAP ","ICC ","BI ",HPDA
Anouk-Pénélope,Ollivier,Anouk-PénélopeOllivier@cy-tech.fr,30,"12,756","INEM ","CS ","IAC ","VISUA ","BI ","IAP ","ICC ",HPDA
Olivie,Evrard,OlivieEvrard@cy-tech.fr,30,"12,689","INEM ","CS ","IAC ","VISUA ","BI ","IAP ","ICC ",HPDA
Antoine,Lefort-Letellier,AntoineLefort-Letellier@cy-tech.fr,30,"12,126","INEM ","CS ","IAP ","IAC ","BI ","HPDA ","ICC ",VISUA
Hugues,Lesage,HuguesLesage@cy-tech.fr,30,"11,169","INEM ","IAC ","CS ","IAP ","ICC ","VISUA ","BI ",HPDA
Zoé,Guibert-Huet,ZoéGuibert-Huet@cy-tech.fr,30,"11,063","INEM ","BI ","VISUA ","CS ","ICC ","HPDA ","IAC ",IAP
Augustin,Gauthier,AugustinGauthier@cy-tech.fr,15,"14,286","INEM ","CS ","VISUA ","IAP ","IAC ","ICC ","BI ",HPDA
Gabrielle,Vasseur,GabrielleVasseur@cy-tech.fr,15,"10,902","INEM ","IAP ","IAC ","ICC ","VISUA ","CS ","BI ",HPDA
Marcel,Carlier,MarcelCarlier@cy-tech.fr,15,"10,29","INEM ","CS ","VISUA ","IAC ","IAP ","ICC ","BI ",HPDA
