Pénélope,Ribeiro,PénélopeRibeiro@cy-tech.fr,30,"15,709","VISUA ","BI ","IAC ","CS ","INEM ","ICC ","IAP ",HPDA
Hugues,Morel,HuguesMorel@cy-tech.fr,30,"15,468","VISUA ","ICC ","IAP ","CS ","INEM ","IAC ","HPDA ",BI
François,de,Françoisde@cy-tech.fr,30,"14,982","VISUA ","ICC ","IAP ","INEM ","IAC ","CS ","BI ",HPDA
Françoise,Chauveau,FrançoiseChauveau@cy-tech.fr,30,"14,724","VISUA ","INEM ","IAP ","IAC ","CS ","HPDA ","ICC ",BI
Éric,Le,ÉricLe@cy-tech.fr,30,"14,557","VISUA ","INEM ","IAP ","CS ","IAC ","ICC ","HPDA ",BI
Anaïs,de,Anaïsde@cy-tech.fr,30,"14,185","VISUA ","CS ","INEM ","IAC ","BI ","ICC ","HPDA ",IAP
David,Lesage,DavidLesage@cy-tech.fr,30,"13,775","VISUA ","CS ","IAC ","ICC ","INEM ","IAP ","BI ",HPDA
Louis,Rousseau,LouisRousseau@cy-tech.fr,30,"13,354","VISUA ","INEM ","IAC ","BI ","CS ","IAP ","ICC ",HPDA
Augustin,Roche,AugustinRoche@cy-tech.fr,30,"12,601","VISUA ","CS ","IAC ","INEM ","HPDA ","IAP ","ICC ",BI
Julie,Lesage,JulieLesage@cy-tech.fr,30,"12,279","VISUA ","INEM ","IAC ","CS ","IAP ","BI ","HPDA ",ICC
Brigitte,Le,BrigitteLe@cy-tech.fr,15,"12,217","VISUA ","CS ","IAC ","INEM ","BI ","IAP ","ICC ",HPDA
Pierre,Mary,PierreMary@cy-tech.fr,15,"10,831","VISUA ","INEM ","BI ","IAC ","CS ","IAP ","HPDA ",ICC
Michelle,Guibert,MichelleGuibert@cy-tech.fr,15,"10,758","VISUA ","CS ","IAC ","INEM ","BI ","IAP ","ICC ",HPDA
Victor,Vasseur,VictorVasseur@cy-tech.fr,15,"10,337","VISUA ","CS ","INEM ","IAC ","BI ","ICC ","IAP ",HPDA
Zacharie,Muller,ZacharieMuller@cy-tech.fr,15,"10,147","VISUA ","BI ","IAC ","IAP ","ICC ","INEM ","CS ",HPDA
Andrée,Mendes,AndréeMendes@cy-tech.fr,15,"10,068","VISUA ","INEM ","CS ","BI ","IAC ","IAP ","HPDA ",ICC
Léon,Maillard,LéonMaillard@cy-tech.fr,15,"8,768","VISUA ","BI ","INEM ","IAC ","CS ","IAP ","ICC ",HPDA
